num,title,id,year,time,limit,img,rate,vote,url,douban
49,Modern Times,tt0027977,1936,1h 27m,G,"https://m.media-amazon.com/images/M/MV5BYjJiZjMzYzktNjU0NS00OTkxLWEwYzItYzdhYWJjN2QzMTRlL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_QL75_UX140_CR0,5,140,207_.jpg",8.5,252K,https://www.imdb.com/title/tt0027977,89
50,Nuovo Cinema Paradiso,tt0095765,1988,2h 35m,PG,"https://m.media-amazon.com/images/M/MV5BM2FhYjEyYmYtMDI1Yy00YTdlLWI2NWQtYmEzNzAxOGY1NjY2XkEyXkFqcGdeQXVyNTA3NTIyNDg@._V1_QL75_UX140_CR0,0,140,207_.jpg",8.5,274K,https://www.imdb.com/title/tt0095765,54
51,C'era una volta il West,tt0064116,1968,2h 45m,PG-13,"https://m.media-amazon.com/images/M/MV5BODQ3NDExOGYtMzI3Mi00NWRlLTkwNjAtNjc4MDgzZGJiZTA1XkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_QL75_UX140_CR0,1,140,207_.jpg",8.5,342K,https://www.imdb.com/title/tt0064116,
52,Rear Window,tt0047396,1954,1h 52m,PG,"https://m.media-amazon.com/images/M/MV5BNGUxYWM3M2MtMGM3Mi00ZmRiLWE0NGQtZjE5ODI2OTJhNTU0XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_QL75_UY207_CR1,0,140,207_.jpg",8.5,509K,https://www.imdb.com/title/tt0047396,
53,Alien,tt0078748,1979,1h 57m,R,"https://m.media-amazon.com/images/M/MV5BOGQzZTBjMjQtOTVmMS00NGE5LWEyYmMtOGQ1ZGZjNmRkYjFhXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_QL75_UX140_CR0,2,140,207_.jpg",8.5,919K,https://www.imdb.com/title/tt0078748,
54,City Lights,tt0021749,1931,1h 27m,G,"https://m.media-amazon.com/images/M/MV5BY2I4MmM1N2EtM2YzOS00OWUzLTkzYzctNDc5NDg2N2IyODJmXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_QL75_UX140_CR0,1,140,207_.jpg",8.5,191K,https://www.imdb.com/title/tt0021749,205
55,Apocalypse Now,tt0078788,1979,2h 27m,R,"https://m.media-amazon.com/images/M/MV5BYmQyNTA1ZGItNjZjMi00NzFlLWEzMWEtNWMwN2Q2MjJhYzEyXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_QL75_UX140_CR0,4,140,207_.jpg",8.4,692K,https://www.imdb.com/title/tt0078788,
56,Memento,tt0209144,2000,1h 53m,R,"https://m.media-amazon.com/images/M/MV5BZTcyNjk1MjgtOWI3Mi00YzQwLWI5MTktMzY4ZmI2NDAyNzYzXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_QL75_UY207_CR1,0,140,207_.jpg",8.4,1.3M,https://www.imdb.com/title/tt0209144,178
57,Django Unchained,tt1853728,2012,2h 45m,R,"https://m.media-amazon.com/images/M/MV5BMjIyNTQ5NjQ1OV5BMl5BanBnXkFtZTcwODg1MDU4OA@@._V1_QL75_UX140_CR0,0,140,207_.jpg",8.5,1.6M,https://www.imdb.com/title/tt1853728,142
58,Raiders of the Lost Ark,tt0082971,1981,1h 55m,PG,"https://m.media-amazon.com/images/M/MV5BNTU2ODkyY2MtMjU1NC00NjE1LWEzYjgtMWQ3MzRhMTE0NDc0XkEyXkFqcGdeQXVyMjM4MzQ4OTQ@._V1_QL75_UY207_CR1,0,140,207_.jpg",8.4,1M,https://www.imdb.com/title/tt0082971,
59,WALL·E,tt0910970,2008,1h 38m,G,"https://m.media-amazon.com/images/M/MV5BMjExMTg5OTU0NF5BMl5BanBnXkFtZTcwMjMxMzMzMw@@._V1_QL75_UX140_CR0,0,140,207_.jpg",8.4,1.2M,https://www.imdb.com/title/tt0910970,16
60,Das Leben der Anderen,tt0405094,2006,2h 17m,R,"https://m.media-amazon.com/images/M/MV5BNmQyNmJjM2ItNTQzYi00ZjMxLWFjMDYtZjUyN2YwZDk5YWQ2XkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_QL75_UX140_CR0,1,140,207_.jpg",8.4,401K,https://www.imdb.com/title/tt0405094,66
61,Sunset Blvd,tt0043014,1950,1h 50m,Passed,"https://m.media-amazon.com/images/M/MV5BMTU0NTkyNzYwMF5BMl5BanBnXkFtZTgwMDU0NDk5MTI@._V1_QL75_UX140_CR0,2,140,207_.jpg",8.4,230K,https://www.imdb.com/title/tt0043014,
62,Paths of Glory,tt0050825,1957,1h 28m,Approved,"https://m.media-amazon.com/images/M/MV5BOTI5Nzc0OTMtYzBkMS00NjkxLThmM2UtNjM2ODgxN2M5NjNkXkEyXkFqcGdeQXVyNjQ2MjQ5NzM@._V1_QL75_UX140_CR0,3,140,207_.jpg",8.4,206K,https://www.imdb.com/title/tt0050825,
63,Avengers: Infinity War,tt4154756,2018,2h 29m,PG-13,"https://m.media-amazon.com/images/M/MV5BMjMxNjY2MDU1OV5BMl5BanBnXkFtZTgwNzY1MTUwNTM@._V1_QL75_UX140_CR0,0,140,207_.jpg",8.4,1.2M,https://www.imdb.com/title/tt4154756,
64,The Shining,tt0081505,1980,2h 26m,R,"https://m.media-amazon.com/images/M/MV5BZWFlYmY2MGEtZjVkYS00YzU4LTg0YjQtYzY1ZGE3NTA5NGQxXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_QL75_UX140_CR0,3,140,207_.jpg",8.4,1.1M,https://www.imdb.com/title/tt0081505,
65,The Great Dictator,tt0032553,1940,2h 5m,G,"https://m.media-amazon.com/images/M/MV5BMmExYWJjNTktNGUyZS00ODhmLTkxYzAtNWIzOGEyMGNiMmUwXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_QL75_UY207_CR0,0,140,207_.jpg",8.4,232K,https://www.imdb.com/title/tt0032553,
66,Witness for the Prosecution,tt0051201,1957,1h 56m,Approved,"https://m.media-amazon.com/images/M/MV5BNDQwODU5OWYtNDcyNi00MDQ1LThiOGMtZDkwNWJiM2Y3MDg0XkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_QL75_UX140_CR0,3,140,207_.jpg",8.4,132K,https://www.imdb.com/title/tt0051201,19
67,Spider-Man: Into the Spider-Verse,tt4633694,2018,1h 57m,PG,"https://m.media-amazon.com/images/M/MV5BMjMwNDkxMTgzOF5BMl5BanBnXkFtZTgwNTkwNTQ3NjM@._V1_QL75_UX140_CR0,0,140,207_.jpg",8.4,629K,https://www.imdb.com/title/tt4633694,245
68,Aliens,tt0090605,1986,2h 17m,R,"https://m.media-amazon.com/images/M/MV5BOGJkY2EyOWYtYWRmNy00ZTEzLTllMDAtYzYzYjA0ZjFhZWJjXkEyXkFqcGdeQXVyMTUzMDUzNTI3._V1_QL75_UX140_CR0,2,140,207_.jpg",8.4,743K,https://www.imdb.com/title/tt0090605,
69,The Dark Knight Rises,tt1345836,2012,2h 44m,PG-13,"https://m.media-amazon.com/images/M/MV5BMTk4ODQzNDY3Ml5BMl5BanBnXkFtZTcwODA0NTM4Nw@@._V1_QL75_UX140_CR0,0,140,207_.jpg",8.4,1.8M,https://www.imdb.com/title/tt1345836,105
70,American Beauty,tt0169547,1999,2h 2m,R,"https://m.media-amazon.com/images/M/MV5BNTBmZWJkNjctNDhiNC00MGE2LWEwOTctZTk5OGVhMWMyNmVhXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_QL75_UX140_CR0,0,140,207_.jpg",8.3,1.2M,https://www.imdb.com/title/tt0169547,
71,Inglourious Basterds,tt0361748,2009,2h 33m,R,"https://m.media-amazon.com/images/M/MV5BOTJiNDEzOWYtMTVjOC00ZjlmLWE0NGMtZmE1OWVmZDQ2OWJhXkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_QL75_UX140_CR0,0,140,207_.jpg",8.3,1.5M,https://www.imdb.com/title/tt0361748,223
72,Dr,tt0057012,1964,1h 35m,PG,"https://m.media-amazon.com/images/M/MV5BMWMxYjZkOWUtM2FjMi00MmI1LThkNzQtNTM5Y2E2ZGQ2NGFhXkEyXkFqcGdeQXVyMTA0MTM5NjI2._V1_QL75_UX140_CR0,1,140,207_.jpg",8.4,507K,https://www.imdb.com/title/tt0057012,
73,Oldeuboi,tt0364569,2003,2h,17,"https://m.media-amazon.com/images/M/MV5BMTI3NTQyMzU5M15BMl5BanBnXkFtZTcwMTM2MjgyMQ@@._V1_QL75_UX140_CR0,0,140,207_.jpg",8.4,610K,https://www.imdb.com/title/tt0364569,
74,Coco,tt2380307,2017,1h 45m,PG,"https://m.media-amazon.com/images/M/MV5BYjQ5NjM0Y2YtNjZkNC00ZDhkLWJjMWItN2QyNzFkMDE3ZjAxXkEyXkFqcGdeQXVyODIxMzk5NjA@._V1_QL75_UY207_CR3,0,140,207_.jpg",8.4,554K,https://www.imdb.com/title/tt2380307,27
75,Amadeus,tt0086879,1984,2h 40m,PG,"https://m.media-amazon.com/images/M/MV5BNWJlNzUzNGMtYTAwMS00ZjI2LWFmNWQtODcxNWUxODA5YmU1XkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_QL75_UX140_CR0,5,140,207_.jpg",8.4,417K,https://www.imdb.com/title/tt0086879,
76,Toy Story,tt0114709,1995,1h 21m,G,"https://m.media-amazon.com/images/M/MV5BMDU2ZWJlMjktMTRhMy00ZTA5LWEzNDgtYmNmZTEwZTViZWJkXkEyXkFqcGdeQXVyNDQ2OTk4MzI@._V1_QL75_UX140_CR0,1,140,207_.jpg",8.3,1M,https://www.imdb.com/title/tt0114709,
77,Das Boot,tt0082096,1981,2h 29m,,"https://m.media-amazon.com/images/M/MV5BNDBjMWUxNTUtNjZiNi00YzJhLTgzNzUtMTRiY2FkZmMzYTNjXkEyXkFqcGdeQXVyMTUzMDUzNTI3._V1_QL75_UX140_CR0,2,140,207_.jpg",8.4,259K,https://www.imdb.com/title/tt0082096,
78,Braveheart,tt0112573,1995,2h 58m,R,"https://m.media-amazon.com/images/M/MV5BMzkzMmU0YTYtOWM3My00YzBmLWI0YzctOGYyNTkwMWE5MTJkXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_QL75_UY207_CR0,0,140,207_.jpg",8.3,1.1M,https://www.imdb.com/title/tt0112573,109
79,Avengers: Endgame,tt4154796,2019,3h 1m,PG-13,"https://m.media-amazon.com/images/M/MV5BMTc5MDE2ODcwNV5BMl5BanBnXkFtZTgwMzI2NzQ2NzM@._V1_QL75_UX140_CR0,0,140,207_.jpg",8.4,1.2M,https://www.imdb.com/title/tt4154796,
